Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
Can you water my plants?	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Buy groceries	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Buy an ad	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Brush your teeth	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Breathe under water	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Balance my checkbook	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Are you able to write my report?	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Are you able to watch videos?	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Are you able to turn into a super hero?	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Are you able to teleport?	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Are you able to take my temperature?	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Are you able to serve on a jury?	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Can you buy groceries?	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Fly then	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Can you turn into a super hero?	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Jump rope	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Invite me over	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
How high can you jump?	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
How high can you count?	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Heal me	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Go to the moon	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Go to the doctor	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Go surfing	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Go outside	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Lets make lemonade	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Get a haircut	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Let's play a game	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Fly a kite	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Find the remote	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Find my phone	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Find my keys	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Feed the cat	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Draw something	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Draw a picture	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Do you write	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Do you want a beer	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Do you ride horses?	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Do you play games?	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Go for a walk	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Send a package	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Watch videos	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Wash the dishes	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Turn on the lights	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Turn into a super hero	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Tell me a story	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Tell me a quote	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Teleport	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Take my temperature	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Take a photo	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Surprise me	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Lets go lunch	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Serve on a jury	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Do you know how to turn into a super hero?	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Scratch my back	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Roll a dice	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Read my mind	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Read me a story	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Put out a fire	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Play golf	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Play a game	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Play a dvd	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Paint my house	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Mow the lawn	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Make a call	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
So you read?	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Do a somersault	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Do you know how to buy groceries?	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Do you know how to breathe under water?	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Do you have superpowers?	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Do you gossip?	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Do you go skiing?	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Do you garden?	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Do you cook?	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Do you code?	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Do my laundry?	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Do my homework	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Do you know to swim	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
do drugs	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Do you know how to cook dinner?	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Do a barrel roll	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Do a back flip	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Did you watch the superbowl	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Dance	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Cook me something	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Cook dinner	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Clean my room	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Check the weather	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Change the channel	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Can you write my report?	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Write my report	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Do my chores	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Do you know how to paint my house?	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
Can you watch videos?	That's not something I can do.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Who can join","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Who can join","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	194
